variable,a_ALGII_SGBII,a_aloLang,q_alo_u25_einw,a_Minijobs,q_kaufkraft,q_einkst_bev,a_hheink_niedrig,a_bev65um,q_abhg_alt,q_HH1,a_hh_kind,m_G02_SUP_DIST,m_Q01_APO_DIST,m_Q07_HA_DIST,m_OEV20_DIST,q_ärzte_bev,a_bb_100Mbits
a_ALGII_SGBII,1,0.11720803078237227,-0.04048654314387559,-0.06980115221158077,-0.2684800261808452,-0.3095136614006269,0.11858761819681303,0.21931252746191737,0.21125149094770024,-0.23798124756027034,0.12723293504776237,0.16736136267854165,0.1968629358044235,0.1410404081982278,0.11608072240926916,-0.0879827059736757,-0.11131919731119835
a_aloLang,0.11720803078237227,1,0.17896912059369993,-0.22955729637587602,-0.2139722827430145,-0.3112163485365119,0.13862915343578067,0.16456885527586015,0.17238205702477763,0.1581205810513658,-0.15150139365228618,-0.04007634741563845,-0.062486170556693116,-0.0855368323721156,0.0027089072969492755,0.1549321257622197,0.0010695278671027132
q_alo_u25_einw,-0.04048654314387559,0.17896912059369993,1,-0.2884571912486446,-0.18636198357999603,-0.33620608356980597,0.18719717852206894,0.22923574154524726,0.22724166708468288,0.4650540936476346,-0.3870336934985562,-0.27960051736563973,-0.2505408206387004,-0.2444731780565749,-0.13038966535074356,0.28185189566969315,0.08883771268349219
a_Minijobs,-0.06980115221158077,-0.22955729637587602,-0.2884571912486446,1,0.20455740831325475,0.42872470758680886,-0.15509269810773912,-0.29756345798423645,-0.29687451838339735,-0.25237307395597125,0.19426409592990154,0.29322529562826544,0.272028768688962,0.3335382048591492,0.20330606780330868,-0.3406083205623269,-0.01110508820570589
q_kaufkraft,-0.2684800261808452,-0.2139722827430145,-0.18636198357999603,0.20455740831325475,1,0.7393895967327639,-0.616220665955677,-0.2514063942748058,-0.23165441658095057,-0.11935554301978064,0.09242504202469738,-0.14383508313762938,-0.18783183769869474,-0.14582857496078128,-0.14990846859424903,-0.05660747641009148,0.18504213581961862
q_einkst_bev,-0.3095136614006269,-0.3112163485365119,-0.33620608356980597,0.42872470758680886,0.7393895967327639,1,-0.5814651585505713,-0.5210880754684795,-0.5229315858686996,-0.22557456468907247,0.22560411445693138,0.02572961824752624,-0.026138566630961493,0.02542148766878996,-0.047825899107203466,-0.2181965965215329,0.12695170904535324
a_hheink_niedrig,0.11858761819681303,0.13862915343578067,0.18719717852206894,-0.15509269810773912,-0.616220665955677,-0.5814651585505713,1,0.3028666978814248,0.29765702296467605,0.25960025577760754,-0.2384900803550165,-0.0062184886559663345,0.007543237750794443,0.014760309663570262,0.0720261657749757,0.10721453819912424,-0.04669586393061482
a_bev65um,0.21931252746191737,0.16456885527586015,0.22923574154524726,-0.29756345798423645,-0.2514063942748058,-0.5210880754684795,0.3028666978814248,1,0.990770063588343,0.31776856664058356,-0.4885208072184533,-0.10025588175483906,-0.07138514274048072,-0.09066414047512536,0.040000089834065375,0.23054217105647568,-0.033755272632336276
q_abhg_alt,0.21125149094770024,0.17238205702477763,0.22724166708468288,-0.29687451838339735,-0.23165441658095057,-0.5229315858686996,0.29765702296467605,0.990770063588343,1,0.31397114913410545,-0.4778636572331418,-0.1078710249503291,-0.08361936507967362,-0.10780216778323452,0.02713469251514473,0.2340461940614619,-0.0228346700000051
q_HH1,-0.23798124756027034,0.1581205810513658,0.4650540936476346,-0.25237307395597125,-0.11935554301978064,-0.22557456468907247,0.25960025577760754,0.31776856664058356,0.31397114913410545,1,-0.7943827774232086,-0.3787259706701174,-0.3710002181672051,-0.30682499172351424,-0.13637219694981698,0.4344990847436673,0.24020335905886722
a_hh_kind,0.12723293504776237,-0.15150139365228618,-0.3870336934985562,0.19426409592990154,0.09242504202469738,0.22560411445693138,-0.2384900803550165,-0.4885208072184533,-0.4778636572331418,-0.7943827774232086,1,0.32698779521849525,0.3147237976354613,0.26823051021232985,0.09246184935270071,-0.38441429534824195,-0.1583789721450164
m_G02_SUP_DIST,0.16736136267854165,-0.04007634741563845,-0.27960051736563973,0.29322529562826544,-0.14383508313762938,0.02572961824752624,-0.0062184886559663345,-0.10025588175483906,-0.1078710249503291,-0.3787259706701174,0.32698779521849525,1,0.7338539890527931,0.7233949698097677,0.4325526076176171,-0.3633772566336306,-0.20932926561262938
m_Q01_APO_DIST,0.1968629358044235,-0.062486170556693116,-0.2505408206387004,0.272028768688962,-0.18783183769869474,-0.026138566630961493,0.007543237750794443,-0.07138514274048072,-0.08361936507967362,-0.3710002181672051,0.3147237976354613,0.7338539890527931,1,0.7223837587030575,0.5535022499208202,-0.2563434140698791,-0.2825915969682308
m_Q07_HA_DIST,0.1410404081982278,-0.0855368323721156,-0.2444731780565749,0.3335382048591492,-0.14582857496078128,0.02542148766878996,0.014760309663570262,-0.09066414047512536,-0.10780216778323452,-0.30682499172351424,0.26823051021232985,0.7233949698097677,0.7223837587030575,1,0.5371061812282262,-0.48628500360735455,-0.2531297488653574
m_OEV20_DIST,0.11608072240926916,0.0027089072969492755,-0.13038966535074356,0.20330606780330868,-0.14990846859424903,-0.047825899107203466,0.0720261657749757,0.040000089834065375,0.02713469251514473,-0.13637219694981698,0.09246184935270071,0.4325526076176171,0.5535022499208202,0.5371061812282262,1,-0.16494596976945122,-0.27830233425106615
q_ärzte_bev,-0.0879827059736757,0.1549321257622197,0.28185189566969315,-0.3406083205623269,-0.05660747641009148,-0.2181965965215329,0.10721453819912424,0.23054217105647568,0.2340461940614619,0.4344990847436673,-0.38441429534824195,-0.3633772566336306,-0.2563434140698791,-0.48628500360735455,-0.16494596976945122,1,0.1468152754190156
a_bb_100Mbits,-0.11131919731119835,0.0010695278671027132,0.08883771268349219,-0.01110508820570589,0.18504213581961862,0.12695170904535324,-0.04669586393061482,-0.033755272632336276,-0.0228346700000051,0.24020335905886722,-0.1583789721450164,-0.20932926561262938,-0.2825915969682308,-0.2531297488653574,-0.27830233425106615,0.1468152754190156,1
