PC,eigenvalue,variance,cumulative
1,8.250131585077241,0.1617672859819068,0.1617672859819068
2,7.433566250989395,0.14575620099979214,0.30752348698169896
3,3.2632740164419674,0.06398576502827391,0.37150925200997287
4,3.185469825849955,0.06246019266372464,0.4339694446736975
5,2.2842271491688493,0.044788767630761776,0.4787582123044593
6,2.229812644749081,0.0437218165637075,0.5224800288681668
7,2.1180261880800373,0.04152992525647134,0.5640099541246382
8,1.871782668528627,0.036701620951541725,0.6007115750761799
9,1.7415438958007818,0.03414791952550555,0.6348594946016854
10,1.553547283135035,0.03046171143402031,0.6653212060357058
11,1.3547860096361408,0.026564431561492973,0.6918856375971988
12,1.2071767523602217,0.023670132399220046,0.7155557699964188
13,1.1036686335805206,0.021640561442755318,0.7371963314391741
14,1.0589682693853357,0.020764083713437968,0.757960415152612
15,1.0346598119402988,0.020287447292947045,0.7782478624455591
16,0.9440046478353734,0.018509895055595568,0.7967577575011546
17,0.9033083003541191,0.017711927457923913,0.8144696849590786
18,0.8538847859054036,0.016742838939321648,0.8312125238984002
19,0.7638458453070958,0.014977369515825416,0.8461898934142256
20,0.7235807831195792,0.014187858492540777,0.8603777519067664
21,0.7093963845979229,0.013909733031331828,0.8742874849380982
22,0.5876582124253663,0.01152271004755621,0.8858101949856544
23,0.562570824619489,0.011030800482735085,0.8968409954683895
24,0.5186575590278835,0.01016975605937027,0.9070107515277598
25,0.4699605129019931,0.009214912017686145,0.9162256635454459
26,0.44972759904132475,0.008818188216496568,0.9250438517619425
27,0.4169997080696088,0.008176464864109981,0.9332203166260524
28,0.3745902069318874,0.0073449060182723055,0.9405652226443247
29,0.3535052339383767,0.006931475175262292,0.947496697819587
30,0.32316353283799704,0.006336539859568573,0.9538332376791556
31,0.27487033583770015,0.005389614428190202,0.9592228521073458
32,0.2567749765678164,0.005034803462114049,0.9642576555694599
33,0.24121189020791958,0.0047296449060376415,0.9689873004754975
34,0.22331727306504276,0.0043787700600988804,0.9733660705355964
35,0.21691311200761432,0.004253198274659107,0.9776192688102555
36,0.20222702683543348,0.003965235820302619,0.9815845046305581
37,0.18904903581299107,0.003706843839470415,0.9852913484700285
38,0.18058042558129533,0.003540792658456773,0.9888321411284853
39,0.13908363432089085,0.0027271300847233515,0.9915592712132086
40,0.12499778291605788,0.0024509369199227048,0.9940102081331313
41,0.10362597145480004,0.0020318817932313744,0.9960420899263627
42,0.07826679622226324,0.001534643063181633,0.9975767329895443
43,0.06775931978607895,0.0013286141134525292,0.9989053471029968
44,0.030574094093532567,5.994920410496585e-4,0.9995048391440465
45,0.009642306968697419,1.890648425234789e-4,0.99969390398657
46,0.006356384852760541,1.2463499711295184e-4,0.9998185389836829
47,0.00492558628005902,9.658012313841221e-5,0.9999151191068213
48,0.004325896193508133,8.48214939903556e-5,0.9999999406008117
49,1.982625066128683e-6,3.8875001296640864e-8,0.999999979475813
50,6.9543342011189e-7,1.3635949413958636e-8,0.9999999931117624
51,3.5130010634695744e-7,6.888237379352111e-9,0.9999999999999998
