var1,var2,correlation,abs_correlation
q_bev_fl,q_bevsva_qkm,0.9936013077179452,0.9936013077179452
q_stud,q_stud_1825,0.9933986711419005,0.9933986711419005
a_bev65um,q_abhg_alt,0.990770063588343,0.990770063588343
q_gewst_bev,d_steuereinnahme,0.9857353800372183,0.9857353800372183
q_stud,q_stud_fh,0.92934722378222,0.92934722378222
q_stud_1825,q_stud_fh,0.9290638232350519,0.9290638232350519
q_allgemeinärzte_bev,q_hausarzt_bev,0.8678136144823664,0.8678136144823664
a_bb_100Mbits,a_bb_50Mbits,0.8582870182238301,0.8582870182238301
a_bev75um,q_abhg_alt,0.8037929569356806,0.8037929569356806
a_bev65um,a_bev75um,0.8037788189287005,0.8037788189287005
q_hausarzt_bev,q_ärzte_bev,0.7964083644753954,0.7964083644753954
q_HH1,a_hh_kind,-0.7943827774232086,0.7943827774232086
a_bev6575,a_bev65um,0.785362488060103,0.785362488060103
a_bev6575,q_abhg_alt,0.7703818037523723,0.7703818037523723
m_Q07_HA_DIST,m_P01_PRIM_DIST,0.7415564221694597,0.7415564221694597
q_einkst_bev,q_kaufkraft,0.7393895967327639,0.7393895967327639
a_BG1P,a_BGKind,-0.7377577756862937,0.7377577756862937
m_G02_SUP_DIST,m_Q01_APO_DIST,0.7338539890527931,0.7338539890527931
a_hheink_hoch,a_hheink_niedrig,-0.7312333297446599,0.7312333297446599
m_Q01_APO_DIST,m_P01_PRIM_DIST,0.731144245464493,0.731144245464493
m_G02_SUP_DIST,m_Q07_HA_DIST,0.7233949698097677,0.7233949698097677
m_Q01_APO_DIST,m_Q07_HA_DIST,0.7223837587030575,0.7223837587030575
a_bev0618,q_abhg_jung,0.7182288269610441,0.7182288269610441
a_ALGII_SGBII,a_Unterkunft_SGBII,-0.7028414405094151,0.7028414405094151
q_allgemeinärzte_bev,q_ärzte_bev,0.6578466896274726,0.6578466896274726
m_G02_SUP_DIST,m_P01_PRIM_DIST,0.6424537560453122,0.6424537560453122
a_bev0306,q_abhg_jung,0.6393720036577093,0.6393720036577093
m_OEV20_DIST,m_P01_PRIM_DIST,0.6187449867846923,0.6187449867846923
q_kaufkraft,a_hheink_niedrig,-0.616220665955677,0.616220665955677
a_bev1825,a_bev2530,0.6143163303547501,0.6143163303547501
q_kaufkraft,a_hheink_hoch,0.6135308124408658,0.6135308124408658
q_einkst_bev,a_hheink_hoch,0.610816044590937,0.610816044590937
a_bev1825,r_ewf_jungalt,0.6059140246261885,0.6059140246261885
a_bev3050,a_bev65um,-0.6057318468769326,0.6057318468769326
a_bev75um,a_hh_kind,-0.6016064890987448,0.6016064890987448
a_bev2530,a_bev6575,-0.5990911075475794,0.5990911075475794
q_einkst_bev,a_hheink_niedrig,-0.5814651585505713,0.5814651585505713
a_bev3050,q_abhg_alt,-0.5782424944008172,0.5782424944008172
a_bev1825,a_bev6575,-0.5606113276217807,0.5606113276217807
m_Q01_APO_DIST,m_OEV20_DIST,0.5535022499208202,0.5535022499208202
