PC,Eigenvalue,Variance,Cumulative
1,7.967262291024401,0.15622082923577266,0.15622082923577266
2,6.796055212326558,0.13325598455542279,0.28947681379119544
3,3.4564767022839242,0.06777405298595934,0.3572508667771548
4,2.9883384477977284,0.05859487152544569,0.41584573830260047
5,2.2265504598998773,0.043657852154899576,0.45950359045750006
6,2.1133241702809458,0.04143772882903818,0.5009413192865382
7,2.0414835008248247,0.04002908825146717,0.5409704075380053
8,1.8692585328768396,0.03665212809562433,0.5776225356336296
9,1.7528291601337842,0.03436919921830951,0.6119917348519391
10,1.5263868909264728,0.029929154724048505,0.6419208895759877
11,1.3058037563457248,0.025603995222465207,0.667524884798453
12,1.1858136410787126,0.023251247864288494,0.6907761326627414
13,1.0800226755844016,0.021176915207537297,0.7119530478702787
14,1.012578454208185,0.019854479494278147,0.7318075273645568
15,0.9837854807255423,0.01928991138677535,0.7510974387513322
16,0.9520664176710161,0.0186679689739415,0.7697654077252737
17,0.9231984968485869,0.018101931310756617,0.7878673390360303
18,0.8463512281672697,0.016595122120926866,0.8044624611569572
19,0.7993448324630421,0.015673428087510637,0.8201358892444678
20,0.7729558166150725,0.015155996404217116,0.835291885648685
21,0.7441683216338042,0.014591535718309895,0.8498834213669948
22,0.6441920278233814,0.012631216231831013,0.8625146375988259
23,0.6160892095921086,0.012080180580237429,0.8745948181790633
24,0.5820160799811784,0.011412079999630956,0.8860068981786943
25,0.553803323186843,0.010858888689938104,0.8968657868686324
26,0.5321197254554342,0.010433720106969304,0.9072995069756017
27,0.4878175215793151,0.009565049442731675,0.9168645564183333
28,0.44587377332437056,0.008742623006360212,0.9256071794246935
29,0.41971318050609485,0.008229670206001865,0.9338368496306954
30,0.38060989931384237,0.007462939202232208,0.9412997888329275
31,0.3582594761857568,0.007024695611485432,0.948324484444413
32,0.31375981599042463,0.006152153254714212,0.9544766376991272
33,0.29730365238106515,0.005829483380020889,0.960306121079148
34,0.2803846346828926,0.005497737934958682,0.9658038590141067
35,0.26553909579080043,0.005206648937074521,0.9710105079511813
36,0.24618856898679906,0.004827226842878416,0.9758377347940597
37,0.24368004627129236,0.00477804012296652,0.9806157749170262
38,0.22157249554347327,0.004344558736146537,0.9849603336531728
39,0.1872487030115354,0.0036715431963046177,0.9886318768494774
40,0.17104834553573178,0.0033538891281516053,0.991985765977629
41,0.1447373840385009,0.0028379879223235484,0.9948237538999526
42,0.11955293124558725,0.0023441751224624963,0.9971679290224151
43,0.077959807842088,0.001528623683178197,0.9986965527055933
44,0.033875268820718035,6.642209572689814e-4,0.9993607736628624
45,0.011152325791267948,2.186730547307442e-4,0.9995794467175931
46,0.009057713871674727,1.7760223277793594e-4,0.9997570489503711
47,0.006433618678435817,1.2614938585168276e-4,0.9998831983362227
48,0.005761094458360248,1.1296263643843629e-4,0.9999961609726612
49,1.946471308327504e-4,3.816610408485304e-6,0.9999999775830697
50,6.677561958732398e-7,1.3093258742612553e-8,0.9999999906763284
51,4.755072786714906e-7,9.323672130813546e-9,1.0000000000000004
