analysis_var,source_var,source_year_var,distinct_years,min_year,max_year
v_dep_alg2,exposure_share_alg2_sgb2,exposure_share_alg2_sgb2_year,2,2021,2022
v_dep_sgb2_housing,exposure_share_sgb2_with_housing_costs,exposure_share_sgb2_with_housing_costs_year,2,2021,2022
v_dep_longterm_unemp,exposure_share_longterm_unemp,exposure_share_longterm_unemp_year,5,2019,2023
v_dep_unemp_u25,exposure_unemp_u25_per_1000,exposure_unemp_u25_per_1000_year,2,2020,2023
v_dep_purchasing_power,exposure_purchasing_power,exposure_purchasing_power_year,1,2023,2023
v_dep_income_low,exposure_share_hh_income_low,exposure_share_hh_income_low_year,1,2023,2023
v_age_65plus,exposure_share_age_65plus,exposure_share_age_65plus_year,1,2023,2023
v_age_75plus,exposure_share_age_75plus,exposure_share_age_75plus_year,1,2023,2023
v_age_old_dep,exposure_old_age_dependency,exposure_old_age_dependency_year,1,2023,2023
v_house_single_parent,exposure_share_bg_single_parent,exposure_share_bg_single_parent_year,2,2021,2022
v_house_single,exposure_share_single_households,exposure_share_single_households_year,1,2023,2023
v_access_pharmacy,exposure_dist_pharmacy_m,exposure_dist_pharmacy_m_year,1,2023,2023
v_access_gp,exposure_dist_gp_m,exposure_dist_gp_m_year,1,2023,2023
v_access_pt,exposure_dist_public_transport_m,exposure_dist_public_transport_m_year,1,2022,2022
v_opt_doctors,exposure_doctors_total_per_1000,exposure_doctors_total_per_1000_year,1,2022,2022
v_opt_supermarket,exposure_dist_supermarket_m,exposure_dist_supermarket_m_year,1,2023,2023
v_opt_broadband,exposure_share_bb_100mbit,exposure_share_bb_100mbit_year,1,2023,2023
